Cardiac Cycle (beat),ECG_P_Peaks,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Peaks,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,OnQRS_x,OffQRS_x,OnQRS_y,OffQRS_y,PPinterval,QQinterval,RRinterval,SSinterval,TTinterval,PP2,QQ2,RR2,SS2,TT2,P-Pamplitude,Q-Qamplitude,R-Ramplitude,S-Samplitude,T-Tamplitude,R-R2amplitude,Q-Q2amplitude,R-R2amplitude,S-S2amplitude,T-T2amplitude,P->R interval,Q->S interval,Q->T interval,T->Q interval,P->R segment,S->T segment,PQ_y_diff,QR_y_diff,RS_y_diff,ST_y_diff,HRV-RRinterval,HRV-PreRRinterval,HRV-PosRRinterval,HPF X4,HPF X5
826,150627,150647,150652,150659,150715,0,0.0153809,20,-0.285645,25,0.7185060000000001,32,-0.125244,88,0.0219727,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-1,-1,0,5,150846,150845,150845,150846,150851,0.0,-0.05493100000000006,-0.08129900000000012,0.017577999999999983,-0.0087891,-0.08129900000000012,-0.05493100000000006,-0.08129900000000012,0.017577999999999983,-0.0087891,25,12,68,150,25,56,-0.30102589999999996,1.004151,-0.8437500000000001,0.1472167,216,218,218,-2,2
827,150846,150865,150870,150878,150939,0,0.0153809,19,-0.34057600000000005,24,0.637207,32,-0.10766600000000001,93,0.013183600000000002,9.5,62.5,-0.32959,-0.0153809,0,1,1,0,-8,151065,151066,151066,151065,151057,0.021972600000000005,0.035156000000000076,-0.004394000000000009,-0.019774999999999987,0.0021972999999999975,-0.004394000000000009,0.035156000000000076,-0.004394000000000009,-0.019774999999999987,0.0021972999999999975,24,13,74,146,24,61,-0.3559569,0.9777830000000001,-0.744873,0.12084960000000002,218,216,220,2,2
828,151065,151085,151090,151097,151150,0,0.037353500000000005,20,-0.30541999999999997,25,0.632813,32,-0.127441,85,0.0153809,10.0,58.5,-0.44824200000000003,-0.039550800000000004,0,0,0,1,5,151285,151285,151285,151286,151290,-0.015380800000000003,-0.013184000000000029,0.0065910000000000135,0.026367,0.004394500000000003,0.0065910000000000135,-0.013184000000000029,0.0065910000000000135,0.026367,0.004394500000000003,25,12,65,155,25,53,-0.34277349999999995,0.9382329999999999,-0.760254,0.1428219,220,218,220,2,0
829,151285,151305,151310,151318,151375,0,0.0219727,20,-0.318604,25,0.639404,33,-0.101074,90,0.019775400000000002,10.0,61.5,-0.44824200000000003,-0.0153809,0,-1,-1,-1,0,151507,151506,151506,151506,151507,0.0021972,-0.006590999999999958,0.019776000000000016,-0.0065920000000000145,-0.0021973000000000027,0.019776000000000016,-0.006590999999999958,0.019776000000000016,-0.0065920000000000145,-0.0021973000000000027,25,13,70,151,25,57,-0.3405767,0.958008,-0.740478,0.1208494,220,220,221,0,1
830,151507,151526,151531,151539,151597,0,0.0241699,19,-0.32519499999999996,24,0.65918,32,-0.10766600000000001,90,0.0175781,9.5,61.0,-0.32959,-0.0153809,0,1,2,1,2,151723,151724,151725,151724,151725,0.0109864,-0.032959000000000016,0.06372,-0.026366999999999974,0.0021973000000000027,0.06372,-0.032959000000000016,0.06372,-0.026366999999999974,0.0021973000000000027,24,13,71,146,24,58,-0.3493649,0.984375,-0.766846,0.12524410000000002,221,220,218,1,-3
831,151723,151743,151749,151756,151815,0,0.0351563,20,-0.358154,26,0.7229,33,-0.13403299999999999,92,0.019775400000000002,10.0,62.5,-0.44824200000000003,-0.0153809,0,0,0,-1,-2,151942,151942,151942,151941,151940,-0.0131836,0.017577999999999927,-0.06591800000000003,0.02197199999999999,-0.0021973000000000027,-0.06591800000000003,0.017577999999999927,-0.06591800000000003,0.02197199999999999,-0.0021973000000000027,26,13,72,147,26,59,-0.3933103,1.081054,-0.856933,0.15380839999999998,218,221,219,-3,1
832,151942,151962,151968,151974,152032,0,0.0219727,20,-0.34057600000000005,26,0.656982,32,-0.112061,90,0.0175781,10.0,61.0,-0.44824200000000003,-0.0153809,0,-1,-2,-1,1,152164,152163,152162,152163,152165,0.0,0.06591800000000003,0.0,-0.008789000000000005,0.004394600000000002,0.0,0.06591800000000003,0.0,-0.008789000000000005,0.004394600000000002,26,12,70,151,26,58,-0.36254870000000006,0.997558,-0.7690429999999999,0.1296391,219,218,220,1,1
833,152164,152183,152188,152195,152255,0,0.0219727,19,-0.274658,24,0.656982,31,-0.12085,91,0.0219727,9.5,61.0,-0.32959,-0.0153809,0,-12,-11,-5,-35,152255,152243,152244,152250,152220,0.0,0.26806620000000003,-0.6328121,0.1054691,-0.01977543,-0.6328121,0.26806620000000003,-0.6328121,0.1054691,-0.01977543,24,12,72,7,24,60,-0.2966307,0.93164,-0.777832,0.1428227,220,219,80,1,-140
834,152255,152262,152268,152281,152311,0,0.0219727,7,-0.006591800000000001,13,0.0241699,26,-0.0153809,56,0.00219727,3.5,41.0,-0.037353500000000005,-0.026367200000000004,0,14,13,7,-2,152383,152397,152396,152390,152381,0.006591799999999998,-0.2219242,0.6569821000000001,-0.09668009999999999,0.0,0.6569821000000001,-0.2219242,0.6569821000000001,-0.09668009999999999,0.0,13,19,49,93,13,30,-0.028564500000000003,0.030761700000000003,-0.0395508,0.01757817,80,220,141,-140,61
835,152383,152404,152409,152416,152437,0,0.0285645,21,-0.228516,26,0.6811520000000001,33,-0.112061,54,0.00219727,10.5,43.5,-0.44824200000000003,-0.026367200000000004,0,-2,-5,-5,-4,152471,152469,152466,152466,152467,-0.015380899999999998,0.23291053,-0.6547848000000001,0.0900883,0.00878903,-0.6547848000000001,0.23291053,-0.6547848000000001,0.0900883,0.00878903,26,12,33,53,26,21,-0.2570805,0.9096680000000001,-0.7932130000000001,0.11425827,141,80,83,61,-58
836,152471,152490,152492,152499,152521,0,0.013183600000000002,19,0.00439453,21,0.026367200000000004,28,-0.0219727,50,0.0109863,9.5,39.0,-0.32959,-0.0241699,0,-1,3,3,35,152605,152604,152608,152608,152640,0.0109863,-0.35595753,0.6657718,-0.09448229999999999,0.008789100000000003,0.6657718,-0.35595753,0.6657718,-0.09448229999999999,0.008789100000000003,21,9,31,102,21,22,-0.008789070000000003,0.021972670000000003,-0.048339900000000005,0.032959,83,141,137,-58,54
837,152605,152623,152629,152636,152690,0,0.0241699,18,-0.351563,24,0.6921390000000001,31,-0.11645499999999999,85,0.019775400000000002,9.0,58.0,-0.32959,-0.039550800000000004,0,2,1,2,7,152822,152824,152823,152824,152829,-0.0021972,0.041749000000000036,-0.024170000000000136,0.0021969999999999906,0.0,-0.024170000000000136,0.041749000000000036,-0.024170000000000136,0.0021969999999999906,0.0,24,13,67,152,24,54,-0.37573290000000004,1.0437020000000001,-0.808594,0.1362304,137,83,218,54,81
838,152822,152842,152847,152855,152914,0,0.0219727,20,-0.309814,25,0.6679689999999999,33,-0.114258,92,0.019775400000000002,10.0,62.5,-0.44824200000000003,-0.0153809,0,0,1,0,2,153043,153043,153044,153043,153045,-0.0021972999999999993,-0.048339999999999994,-0.006591999999999931,0.006591999999999987,-0.0021973000000000027,-0.006591999999999931,-0.048339999999999994,-0.006591999999999931,0.006591999999999987,-0.0021973000000000027,25,13,72,149,25,59,-0.3317867,0.9777829999999998,-0.7822269999999999,0.1340334,218,137,222,81,4
839,153043,153063,153069,153076,153137,0,0.019775400000000002,20,-0.358154,26,0.661377,33,-0.10766600000000001,94,0.0175781,10.0,63.5,-0.44824200000000003,-0.006591800000000001,0,0,-1,0,1,153266,153266,153265,153266,153267,0.008789099999999998,0.04174799999999995,-0.017577999999999983,0.0021970000000000045,-0.0021972,-0.017577999999999983,0.04174799999999995,-0.017577999999999983,0.0021970000000000045,-0.0021972,26,13,74,149,26,61,-0.37792939999999997,1.019531,-0.769043,0.12524410000000002,222,218,222,4,0
840,153266,153286,153291,153299,153361,0,0.0285645,20,-0.316406,25,0.643799,33,-0.10546900000000001,95,0.0153809,10.0,64.0,-0.44824200000000003,-0.0175781,0,0,0,-1,-1,153491,153491,153491,153490,153490,-0.006591799999999998,0.02636700000000003,0.017577999999999983,-0.015380999999999992,0.0,0.017577999999999983,0.02636700000000003,0.017577999999999983,-0.015380999999999992,0.0,25,13,75,150,25,62,-0.3449705,0.960205,-0.749268,0.12084990000000001,222,222,225,0,3
841,153491,153511,153516,153523,153585,0,0.0219727,20,-0.290039,25,0.661377,32,-0.12085,94,0.0153809,10.0,63.0,-0.44824200000000003,-0.006591800000000001,0,0,0,0,-38,153712,153712,153712,153712,153674,0.008789000000000002,-0.015380999999999978,0.04834000000000005,-0.030760999999999997,-0.01757817,0.04834000000000005,-0.015380999999999978,0.04834000000000005,-0.030760999999999997,-0.01757817,25,12,74,147,25,62,-0.3120117,0.951416,-0.782227,0.1362309,225,222,221,3,-4
842,153712,153732,153737,153744,153768,0,0.030761700000000003,20,-0.30541999999999997,25,0.709717,32,-0.151611,56,-0.00219727,10.0,44.0,-0.44824200000000003,-0.0285645,0,-15,-18,-20,-13,153823,153808,153805,153803,153810,-0.02197264,0.28564459999999997,-0.7250979000000001,0.1318356,0.00219727,-0.7250979000000001,0.28564459999999997,-0.7250979000000001,0.1318356,0.00219727,25,12,36,60,25,24,-0.33618169999999997,1.015137,-0.8613280000000001,0.14941373,221,225,93,-4,-128
843,153823,153828,153830,153835,153866,0,0.00878906,5,-0.019775400000000002,7,-0.0153809,12,-0.019775400000000002,43,0.0,2.5,27.5,-0.054931600000000004,-0.0812988,0,14,18,19,46,153931,153945,153949,153950,153977,0.010986340000000002,-0.32519560000000003,0.7229009,-0.1098636,0.026367200000000004,0.7229009,-0.32519560000000003,0.7229009,-0.1098636,0.026367200000000004,7,7,38,84,7,31,-0.02856446,0.004394500000000003,-0.004394500000000003,0.019775400000000002,93,221,126,-128,33
844,153931,153950,153956,153962,154020,0,0.019775400000000002,19,-0.344971,25,0.7075199999999999,31,-0.129639,89,0.026367200000000004,9.5,60.0,-0.32959,-0.013183600000000002,0,1,0,0,1,154153,154154,154153,154153,154154,0.004394499999999999,0.05273500000000003,-0.05053799999999997,-0.010985999999999996,0.0,-0.05053799999999997,0.05273500000000003,-0.05053799999999997,-0.010985999999999996,0.0,25,12,70,153,25,58,-0.3647464,1.0524909999999998,-0.837159,0.1560062,126,93,222,33,96
845,154153,154173,154178,154184,154243,0,0.0241699,20,-0.292236,25,0.656982,31,-0.140625,90,0.026367200000000004,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-1,-1,1,1,154376,154375,154375,154377,154377,-0.0021972,-0.03076200000000001,0.0,0.019775,-0.004394500000000003,0.0,-0.03076200000000001,0.0,0.019775,-0.004394500000000003,25,11,70,152,25,59,-0.3164059,0.9492179999999999,-0.797607,0.1669922,222,126,222,96,0
846,154376,154395,154400,154408,154467,0,0.0219727,19,-0.322998,24,0.656982,32,-0.12085,91,0.0219727,9.5,61.5,-0.32959,-0.0153809,0,1,1,-1,-29,154601,154602,154602,154600,154572,0.0021972,0.013184000000000029,-0.017577999999999983,-0.019775,-0.0219727,-0.017577999999999983,0.013184000000000029,-0.017577999999999983,-0.019775,-0.0219727,24,13,72,154,24,59,-0.3449707,0.97998,-0.777832,0.1428227,222,222,226,0,4
847,154601,154621,154626,154632,154663,0,0.0241699,20,-0.309814,25,0.639404,31,-0.140625,62,0.0,10.0,46.5,-0.44824200000000003,-0.0175781,0,-1,0,0,27,154826,154825,154826,154826,154853,-0.0021972,-0.043945999999999985,0.08569399999999994,0.010985999999999996,0.0219727,0.08569399999999994,-0.043945999999999985,0.08569399999999994,0.010985999999999996,0.0219727,25,11,42,182,25,31,-0.3339839,0.9492179999999999,-0.780029,0.140625,226,222,225,4,-1
848,154826,154845,154851,154857,154915,0,0.0219727,19,-0.35375999999999996,25,0.7250979999999999,31,-0.129639,89,0.0219727,9.5,60.0,-0.32959,-0.013183600000000002,0,1,0,2,3,155047,155048,155047,155049,155050,0.004394500000000003,0.07031299999999996,0.00439400000000012,-0.006590999999999986,-0.004394600000000002,0.00439400000000012,0.07031299999999996,0.00439400000000012,-0.006590999999999986,-0.004394600000000002,25,12,70,152,25,58,-0.3757327,1.0788579999999999,-0.8547369999999999,0.15161170000000002,225,226,221,-1,-4
849,155047,155067,155072,155080,155139,0,0.026367200000000004,20,-0.283447,25,0.729492,33,-0.13623,92,0.0175781,10.0,62.5,-0.44824200000000003,-0.0153809,0,-1,0,-1,-1,155272,155271,155272,155271,155271,-0.0021973000000000027,-0.07470699999999997,-0.046142000000000016,0.006590999999999986,0.004394600000000002,-0.046142000000000016,-0.07470699999999997,-0.046142000000000016,0.006590999999999986,0.004394600000000002,25,13,72,152,25,59,-0.3098142,1.012939,-0.865722,0.1538081,221,225,225,-4,4
850,155272,155291,155297,155304,155363,0,0.0241699,19,-0.358154,25,0.68335,32,-0.129639,91,0.0219727,9.5,61.5,-0.32959,-0.0153809,0,0,-1,0,-1,155497,155497,155496,155497,155496,-0.0021972,0.035155999999999965,-0.04833999999999994,0.03515660000000001,-0.0021972999999999993,-0.04833999999999994,0.035155999999999965,-0.04833999999999994,0.03515660000000001,-0.0021972999999999993,25,13,72,153,25,59,-0.3823239,1.041504,-0.812989,0.15161170000000002,225,221,224,4,-1
851,155497,155516,155521,155529,155587,0,0.0219727,19,-0.322998,24,0.6350100000000001,32,-0.0944824,90,0.019775400000000002,9.5,61.0,-0.32959,-0.0153809,0,1,1,0,0,155721,155722,155722,155721,155721,0.0,0.092285,0.017577999999999983,-0.013183600000000018,0.0,0.017577999999999983,0.092285,0.017577999999999983,-0.013183600000000018,0.0,24,13,71,154,24,58,-0.3449707,0.9580080000000001,-0.7294924,0.11425779999999999,224,225,225,-1,1
852,155721,155741,155746,155753,155811,0,0.0219727,20,-0.230713,25,0.6525880000000001,32,-0.10766600000000001,90,0.019775400000000002,10.0,61.0,-0.44824200000000003,-0.0153809,0,0,0,0,0,155947,155947,155947,155947,155947,-0.006591800000000002,-0.087891,0.024169999999999914,-0.015380999999999992,0.0,0.024169999999999914,-0.087891,0.024169999999999914,-0.015380999999999992,0.0,25,12,70,156,25,58,-0.2526857,0.8833010000000001,-0.7602540000000001,0.1274414,225,224,226,1,1
853,155947,155967,155972,155979,156037,0,0.0153809,20,-0.318604,25,0.676758,32,-0.123047,90,0.019775400000000002,10.0,61.0,-0.44824200000000003,-0.0153809,0,17,15,14,-22,156037,156054,156052,156051,156015,0.004394500000000003,0.2900395,-0.6613770999999999,0.11425794,-0.0131836,-0.6613770999999999,0.2900395,-0.6613770999999999,0.11425794,-0.0131836,25,12,70,37,25,58,-0.3339849,0.995362,-0.799805,0.14282240000000002,226,225,105,1,-121
854,156037,156074,156077,156083,156105,0,0.019775400000000002,37,-0.0285645,40,0.0153809,46,-0.00878906,68,0.006591800000000001,18.5,57.0,0.553711,-0.032958999999999995,0,-17,-15,-15,21,156170,156153,156155,156155,156191,0.0021972999999999993,-0.22412150000000003,0.7141111,-0.11865194,0.0175781,0.7141111,-0.22412150000000003,0.7141111,-0.11865194,0.0175781,40,9,31,85,40,22,-0.048339900000000005,0.043945399999999996,-0.024169959999999997,0.01538086,105,226,118,-121,13
855,156170,156190,156195,156201,156259,0,0.0219727,20,-0.252686,25,0.729492,31,-0.127441,89,0.0241699,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,0,0,0,0,156394,156394,156394,156394,156394,0.004394500000000003,-0.008788999999999991,-0.03735299999999997,0.02197199999999999,0.0,-0.03735299999999997,-0.008788999999999991,-0.03735299999999997,0.02197199999999999,0.0,25,11,69,155,25,58,-0.27465870000000003,0.982178,-0.8569330000000001,0.1516109,118,105,224,13,106
856,156394,156414,156419,156425,156483,0,0.026367200000000004,20,-0.261475,25,0.6921390000000001,31,-0.10546900000000001,89,0.0241699,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-1,-1,0,0,156618,156617,156617,156618,156618,-0.004394500000000003,-0.06591799999999998,-0.07031300000000007,0.010986600000000013,0.0,-0.07031300000000007,-0.06591799999999998,-0.07031300000000007,0.010986600000000013,0.0,25,11,69,154,25,58,-0.2878422,0.9536140000000001,-0.7976080000000001,0.1296389,224,118,223,106,-1
857,156618,156637,156642,156649,156707,0,0.0219727,19,-0.327393,24,0.621826,31,-0.0944824,89,0.0241699,9.5,60.0,-0.32959,-0.013183600000000002,0,1,1,0,1,156841,156842,156842,156841,156842,0.0,0.035156999999999994,0.030762000000000067,-0.046142600000000006,0.0,0.030762000000000067,0.035156999999999994,0.030762000000000067,-0.046142600000000006,0.0,24,12,70,154,24,58,-0.3493657,0.949219,-0.7163084,0.11865229999999999,223,224,224,-1,1
858,156841,156861,156866,156872,156931,0,0.0219727,20,-0.292236,25,0.6525880000000001,31,-0.140625,90,0.0241699,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-9,-10,-5,-20,156931,156922,156921,156926,156911,0.0021972,0.2724606,-0.6284181000000001,0.1230469,-0.02197263,-0.6284181000000001,0.2724606,-0.6284181000000001,0.1230469,-0.02197263,25,11,70,11,25,59,-0.3142087,0.9448240000000001,-0.7932130000000001,0.1647949,224,223,80,1,-144
859,156931,156942,156946,156957,157001,0,0.0241699,11,-0.019775400000000002,15,0.0241699,26,-0.0175781,70,0.00219727,5.5,48.0,-0.057128899999999996,-0.019775400000000002,0,9,10,5,21,157065,157074,157075,157070,157086,-0.004394499999999999,-0.3120116,0.6613771,-0.1318359,0.01757813,0.6613771,-0.3120116,0.6613771,-0.1318359,0.01757813,15,15,59,84,15,44,-0.04394530000000001,0.04394530000000001,-0.041748,0.01977537,80,224,144,-144,64
860,157065,157085,157090,157096,157156,0,0.019775400000000002,20,-0.331787,25,0.685547,31,-0.14941400000000002,91,0.019775400000000002,10.0,61.0,-0.44824200000000003,-0.0153809,0,0,0,2,4,157284,157284,157284,157286,157288,0.0,0.02856399999999998,0.061522999999999994,0.019775000000000015,-0.0065918,0.061522999999999994,0.02856399999999998,0.061522999999999994,0.019775000000000015,-0.0065918,25,11,71,148,25,60,-0.3515624,1.017334,-0.8349610000000001,0.16918940000000002,144,80,219,64,75
861,157284,157304,157309,157317,157379,0,0.019775400000000002,20,-0.303223,25,0.74707,33,-0.129639,95,0.013183600000000002,10.0,64.0,-0.44824200000000003,-0.0175781,0,-13,-12,-8,-52,157379,157366,157367,157371,157327,-0.0065918,0.29882847,-0.7097165,0.09228549999999999,-0.008789070000000003,-0.7097165,0.29882847,-0.7097165,0.09228549999999999,-0.008789070000000003,25,13,75,7,25,62,-0.3229984,1.050293,-0.876709,0.1428226,219,144,83,75,-136
862,157379,157386,157392,157404,157422,0,0.013183600000000002,7,-0.00439453,13,0.037353500000000005,25,-0.037353500000000005,43,0.00439453,3.5,34.0,-0.037353500000000005,-0.037353500000000005,0,12,11,7,47,157505,157517,157516,157512,157552,0.0065918,-0.28344747,0.6459965,-0.0681155,0.013183569999999999,0.6459965,-0.28344747,0.6459965,-0.0681155,0.013183569999999999,13,18,36,102,13,18,-0.01757813,0.041748030000000005,-0.07470700000000001,0.041748030000000005,83,219,137,-136,54
863,157505,157524,157529,157537,157595,0,0.019775400000000002,19,-0.287842,24,0.68335,32,-0.10546900000000001,90,0.0175781,9.5,61.0,-0.32959,-0.0153809,0,1,1,1,2,157722,157723,157723,157723,157724,0.006591800000000002,-0.010986000000000051,-0.030761999999999956,0.0021980000000000055,0.006591800000000002,-0.030761999999999956,-0.010986000000000051,-0.030761999999999956,0.0021980000000000055,0.006591800000000002,24,13,71,147,24,58,-0.3076174,0.971192,-0.788819,0.1230471,137,83,218,54,81
864,157722,157742,157747,157755,157814,0,0.026367200000000004,20,-0.29882800000000004,25,0.6525880000000001,33,-0.103271,92,0.0241699,10.0,62.5,-0.44824200000000003,-0.0153809,0,0,0,0,4,157941,157941,157941,157941,157945,0.002197299999999996,-0.030761999999999956,-0.008789000000000047,-0.0021980000000000055,-0.013183600000000002,-0.008789000000000047,-0.030761999999999956,-0.008789000000000047,-0.0021980000000000055,-0.013183600000000002,25,13,72,147,25,59,-0.3251952,0.951416,-0.7558590000000001,0.1274409,218,137,219,81,1
865,157941,157961,157966,157974,158037,0,0.0285645,20,-0.32959,25,0.643799,33,-0.10546900000000001,96,0.0109863,10.0,64.5,-0.44824200000000003,-0.0175781,0,-2,-2,-2,-10,158163,158161,158161,158161,158153,-0.0043945999999999985,0.0021970000000000045,0.010986000000000051,-0.010985999999999982,0.0043946,0.010986000000000051,0.0021970000000000045,0.010986000000000051,-0.010985999999999982,0.0043946,25,13,76,144,25,63,-0.3581545,0.9733890000000001,-0.749268,0.11645530000000001,219,218,220,1,1
866,158163,158181,158186,158194,158249,0,0.0241699,18,-0.327393,23,0.6547850000000001,31,-0.11645499999999999,86,0.0153809,9.0,58.5,-0.32959,-0.039550800000000004,0,2,3,2,8,158377,158379,158380,158379,158385,-0.008789000000000002,-0.04833900000000002,0.101074,-0.017577999999999996,0.0131836,0.101074,-0.04833900000000002,0.101074,-0.017577999999999996,0.0131836,23,13,68,148,23,55,-0.3515629,0.982178,-0.77124,0.13183589999999998,220,219,217,1,-3
867,158377,158397,158403,158410,158471,0,0.0153809,20,-0.375732,26,0.7558590000000001,33,-0.13403299999999999,94,0.0285645,10.0,63.5,-0.44824200000000003,-0.006591800000000001,0,0,-1,-1,-37,158597,158597,158596,158596,158560,0.008789000000000002,0.13623000000000002,-0.07470699999999997,0.017577999999999996,-0.02636723,-0.07470699999999997,0.13623000000000002,-0.07470699999999997,0.017577999999999996,-0.02636723,26,13,74,146,26,61,-0.3911129,1.131591,-0.889892,0.16259749999999998,217,220,219,-3,2
868,158597,158617,158622,158629,158654,0,0.0241699,20,-0.239502,25,0.6811520000000001,32,-0.11645499999999999,57,0.00219727,10.0,44.5,-0.44824200000000003,-0.0285645,0,0,0,0,33,158816,158816,158816,158816,158849,-0.004394499999999999,-0.090088,-0.0593260000000001,0.010985999999999982,0.024169930000000003,-0.0593260000000001,-0.090088,-0.0593260000000001,0.010985999999999982,0.024169930000000003,25,12,37,182,25,25,-0.2636719,0.9206540000000001,-0.7976070000000001,0.11865226999999999,219,217,219,2,0
869,158816,158836,158841,158848,158906,0,0.019775400000000002,20,-0.32959,25,0.621826,32,-0.10546900000000001,90,0.026367200000000004,10.0,61.0,-0.44824200000000003,-0.0153809,0,-1,0,0,0,159039,159038,159039,159039,159039,0.004394499999999999,-0.02197300000000002,0.030762000000000067,-0.006591999999999987,-0.004394500000000003,0.030762000000000067,-0.02197300000000002,0.030762000000000067,-0.006591999999999987,-0.004394500000000003,25,12,70,152,25,58,-0.3493654,0.951416,-0.727295,0.13183620000000001,219,219,223,0,4
870,159039,159058,159064,159071,159129,0,0.0241699,19,-0.351563,25,0.6525880000000001,32,-0.112061,90,0.0219727,9.5,61.0,-0.32959,-0.0153809,0,1,0,0,1,159262,159263,159262,159262,159263,0.0,0.06811600000000001,0.0021970000000000045,-0.024168999999999996,-0.004394600000000002,0.0021970000000000045,0.06811600000000001,0.0021970000000000045,-0.024168999999999996,-0.004394600000000002,25,13,71,153,25,58,-0.37573290000000004,1.004151,-0.764649,0.1340337,223,219,223,4,0
871,159262,159282,159287,159294,159353,0,0.0241699,20,-0.283447,25,0.6547850000000001,32,-0.13623,91,0.0175781,10.0,61.5,-0.44824200000000003,-0.0153809,0,-11,-11,-7,-49,159353,159342,159342,159346,159304,-0.006591800000000002,0.2768552,-0.6240233000000001,0.1076655,-0.013183569999999999,-0.6240233000000001,0.2768552,-0.6240233000000001,0.1076655,-0.013183569999999999,25,12,71,9,25,59,-0.3076169,0.9382320000000001,-0.791015,0.1538081,223,223,80,0,-143
872,159353,159362,159367,159378,159395,0,0.0175781,9,-0.006591800000000001,14,0.030761700000000003,25,-0.0285645,42,0.00439453,4.5,33.5,-0.037353500000000005,-0.0285645,0,11,12,8,50,159486,159497,159498,159494,159536,0.008789100000000005,-0.3142092,0.6416013,-0.08789049999999998,0.021972670000000003,0.6416013,-0.3142092,0.6416013,-0.08789049999999998,0.021972670000000003,14,16,33,111,14,17,-0.0241699,0.037353500000000005,-0.0593262,0.03295903,80,223,145,-143,65
873,159486,159506,159512,159519,159578,0,0.026367200000000004,20,-0.320801,26,0.672363,33,-0.11645499999999999,92,0.026367200000000004,10.0,62.5,-0.44824200000000003,-0.0153809,0,1,0,0,-36,159704,159705,159704,159704,159668,0.004394499999999999,0.05932599999999999,0.05932599999999999,-0.021973000000000006,-0.028564470000000005,0.05932599999999999,0.05932599999999999,0.05932599999999999,-0.021973000000000006,-0.028564470000000005,26,13,72,147,26,59,-0.3471682,0.993164,-0.788818,0.14282219999999998,145,80,218,65,73
874,159704,159725,159730,159737,159760,0,0.030761700000000003,21,-0.261475,26,0.731689,33,-0.138428,56,-0.00219727,10.5,44.5,-0.44824200000000003,-0.0285645,0,-10,-7,-7,-7,159795,159785,159788,159788,159788,-0.015380800000000003,0.25708047,-0.7053218,0.1142581,0.008789070000000001,-0.7053218,0.25708047,-0.7053218,0.1142581,0.008789070000000001,26,12,35,46,26,23,-0.2922367,0.993164,-0.870117,0.13623073,218,145,84,73,-134
875,159795,159806,159814,159821,159844,0,0.0153809,11,-0.00439453,19,0.026367200000000004,26,-0.0241699,49,0.006591800000000001,5.5,37.5,-0.057128899999999996,-0.0285645,0,13,8,8,34,159844,159857,159852,159852,159878,-0.008789099999999998,-0.021972670000000003,-0.013183600000000002,0.0109863,0.0153809,-0.013183600000000002,-0.021972670000000003,-0.013183600000000002,0.0109863,0.0153809,19,15,38,24,19,23,-0.01977543,0.030761730000000004,-0.0505371,0.030761700000000003,84,218,57,-134,-27
876,159844,159868,159871,159878,159927,0,0.006591800000000001,24,-0.026367200000000004,27,0.013183600000000002,34,-0.013183600000000002,83,0.0219727,12.0,58.5,-0.283447,-0.039550800000000004,0,-6,-3,-3,1,159927,159921,159924,159924,159928,0.0153809,-0.31860380000000005,0.6459964,-0.10327139999999999,-0.004394600000000002,0.6459964,-0.31860380000000005,0.6459964,-0.10327139999999999,-0.004394600000000002,27,10,59,18,27,49,-0.032959,0.039550800000000004,-0.026367200000000004,0.0351563,57,84,80,-27,23
877,159927,159945,159951,159958,160011,0,0.0219727,18,-0.344971,24,0.65918,31,-0.11645499999999999,84,0.0175781,9.0,57.5,-0.32959,-0.032958999999999995,0,1,0,0,7,160145,160146,160145,160145,160152,0.0021972,0.05712900000000004,0.0,-0.02417000000000001,0.0021973000000000027,0.0,0.05712900000000004,0.0,-0.02417000000000001,0.0021973000000000027,24,13,66,153,24,53,-0.36694370000000004,1.004151,-0.775635,0.1340331,80,57,218,23,138
878,160145,160164,160169,160176,160236,0,0.0241699,19,-0.287842,24,0.65918,31,-0.140625,91,0.019775400000000002,9.5,61.0,-0.32959,-0.0153809,0,2,2,2,4,160364,160366,160366,160366,160368,0.0021973000000000027,0.048339999999999994,0.0021970000000000045,0.015381000000000006,-0.015380870000000001,0.0021970000000000045,0.048339999999999994,0.0021970000000000045,0.015381000000000006,-0.015380870000000001,24,12,72,149,24,60,-0.3120119,0.947022,-0.799805,0.1604004,218,80,221,138,3
879,160364,160385,160390,160397,160459,0,0.026367200000000004,21,-0.239502,26,0.661377,33,-0.125244,95,0.00439453,10.5,64.0,-0.44824200000000003,-0.0175781,0,-3,-3,-2,-10,160584,160581,160581,160582,160574,-0.004394500000000003,-0.079102,0.050537000000000054,0.006592000000000001,0.015380870000000001,0.050537000000000054,-0.079102,0.050537000000000054,0.006592000000000001,0.015380870000000001,26,12,74,143,26,62,-0.26586919999999997,0.900879,-0.786621,0.12963853,221,218,217,3,-4
